DateTime,Open,High,Low,Close,Volume
2020-10-16,37.45,41.94,36.64,38.95,12251300
2020-10-19,38.85,40.5,38.48,38.95,3539600
2020-10-20,39.28,40.73,37.25,38.5,2853200
2020-10-21,38.12,42.1,37.36,39.34,8694200
2020-10-22,38.98,44.44,38.03,43.94,3240000
2020-10-23,43.58,44.01,38.837,42.0,3298300
2020-10-26,41.05,41.73,38.4,39.5,1965100
2020-10-27,39.5,39.52,37.29,38.0,1637200
2020-10-28,36.67,38.75,35.55,37.46,1858900
2020-10-29,37.61,38.2,36.53,37.81,899100
2020-10-30,36.96,37.25,34.5,36.85,1180200
2020-11-02,37.74,38.5,36.46,36.78,992800
2020-11-03,37.14,38.5,36.52,37.57,2321900
2020-11-04,36.63,37.49,34.13,35.94,2016200
2020-11-05,37.33,42.49,36.67,39.34,2281600
2020-11-06,38.667,48.88,38.1,44.81,3274700
2020-11-09,44.248,45.7,38.39,42.0,2445000
2020-11-10,41.25,41.832,35.71,39.7,2271200
2020-11-11,40.16,41.19,38.85,39.16,588500
2020-11-12,39.15,39.63,37.07,37.63,692400
2020-11-13,38.55,40.59,37.669,38.47,812800
2020-11-16,39.0,40.0,38.56,39.32,789400
2020-11-17,39.5,40.359,38.71,40.05,854200
2020-11-18,40.34,44.27,40.25,41.97,1852900
2020-11-19,41.5,43.96,41.2,42.7,498700
2020-11-20,42.97,45.9,42.575,45.1,813000
2020-11-23,45.6,46.89,42.33,45.1,1081700
2020-11-24,45.67,50.99,43.27,46.2,1602500
2020-11-25,46.05,48.54,45.29,47.43,695000
2020-11-27,48.465,49.69,46.61,47.11,590000
2020-11-30,48.15,48.15,43.65,45.58,1008300
2020-12-01,42.565,43.35,40.27,40.6,2217500
2020-12-02,40.4,40.4,37.195,37.6,3028700
2020-12-03,37.5,38.45,35.65,35.85,12618800
2020-12-04,36.17,36.9,33.83,34.09,4500600
2020-12-07,35.0,35.939,33.46,35.18,3078900
2020-12-08,36.03,36.79,35.3,36.57,3813700
2020-12-09,37.75,38.24,35.68,36.12,3931900
2020-12-10,35.348,36.88,35.3,36.1,1867200
2020-12-11,36.25,37.0,35.27,36.47,1598000
2020-12-14,36.8,37.37,36.5,36.95,2398400
2020-12-15,37.05,38.88,36.04,38.64,2508200
2020-12-16,38.85,40.89,38.15,40.49,2643800
2020-12-17,40.9,42.09,39.69,41.91,2126900
2020-12-18,41.92,43.35,41.25,42.0,9525700
2020-12-21,41.016,43.74,40.05,43.08,1772600
2020-12-22,43.73,44.9,42.5,44.27,2444200
2020-12-23,44.95,46.3,44.77,45.1,2852800
2020-12-24,44.0,45.15,43.54,44.18,1312000
2020-12-28,44.31,46.87,42.95,43.41,2053100
2020-12-29,42.94,43.29,40.34,42.44,1880000
2020-12-30,42.27,43.61,42.07,43.47,2848100
2020-12-31,43.09,43.73,42.78,43.14,961100
2021-01-04,43.5,43.89,41.17,42.42,1564000
2021-01-05,42.09,43.9,41.06,41.91,1579900
2021-01-06,45.166,48.37,44.35,47.04,3490100
2021-01-07,48.65,51.47,48.65,49.7,2378600
2021-01-08,52.99,54.78,49.83,50.76,2550800
2021-01-11,47.64,52.03,46.78,51.0,1468600
2021-01-12,51.7,52.235,49.28,51.01,1530400
2021-01-13,50.78,51.28,49.405,49.5,1107100
2021-01-14,49.7,51.36,48.25,48.46,1579600
2021-01-15,48.42,48.6,45.02,45.93,1411700
2021-01-19,46.6,48.39,46.175,48.36,1339000
2021-01-20,49.88,50.466,47.62,48.2,1086400
2021-01-21,47.62,49.7,47.45,49.7,1102700
2021-01-22,49.32,51.05,48.42,51.05,1261300
2021-01-25,51.4,52.765,47.73,48.36,1664100
2021-01-26,48.64,48.99,45.73,45.91,1141900
2021-01-27,44.0,45.41,41.03,41.28,2261100
2021-01-28,43.62,43.65,41.31,42.26,1574800
2021-01-29,42.5,42.68,40.2,40.76,1421500
2021-02-01,41.7,42.25,40.05,41.03,1133300
2021-02-02,42.15,43.84,41.56,43.37,1988600
2021-02-03,44.11,44.25,42.15,43.08,895300
