DateTime,Open,High,Low,Close,Volume
2020-08-25,175.5,177.0,168.45,170.85,424860
2020-08-26,173.1,173.25,162.45,166.95,135107
2020-08-27,166.35,168.45,161.925,164.25,115633
2020-08-28,166.35,167.835,163.8,166.8,84847
2020-08-31,168.915,170.25,164.25,165.15,73233
2020-09-01,167.55,173.1,165.15,172.5,94740
2020-09-02,174.45,183.75,172.5,179.1,296320
2020-09-03,177.75,178.5,167.85,171.0,141253
2020-09-04,172.5,181.5,165.45,178.5,133293
2020-09-08,175.95,185.1,175.5,178.2,151280
2020-09-09,183.6,184.5,177.0,184.05,127213
2020-09-10,190.5,191.25,185.715,187.05,127573
2020-09-11,193.05,193.8,185.58,188.7,123980
2020-09-14,198.9,202.05,195.0,196.5,179653
2020-09-15,197.25,205.5,197.25,202.05,185840
2020-09-16,203.25,204.3,189.75,190.05,138433
2020-09-17,190.8,197.25,184.35,187.5,136647
2020-09-18,189.3,190.5,179.4,181.8,112393
2020-09-21,180.0,187.35,170.85,183.0,156447
2020-09-22,186.0,187.35,176.25,178.05,97833
2020-09-23,178.95,180.0,166.8,175.5,118273
2020-09-24,167.25,172.5,162.75,171.0,161800
2020-09-25,170.25,171.0,167.625,170.85,63460
2020-09-28,175.35,178.8,172.5,175.2,76660
2020-09-29,179.25,179.25,172.35,178.5,63267
2020-09-30,177.9,178.725,169.725,171.3,55693
2020-10-01,172.8,175.5,162.0,162.75,121007
2020-10-02,160.2,166.35,158.4,163.2,93313
2020-10-05,165.75,167.25,157.95,161.7,109447
2020-10-06,162.3,162.525,154.65,158.25,140793
2020-10-07,157.95,160.5,156.75,158.1,57947
2020-10-08,157.65,159.0,156.6,157.5,55607
2020-10-09,159.0,162.375,157.05,158.25,59060
2020-10-12,160.5,161.4,157.95,159.45,53287
2020-10-13,159.75,161.7,157.35,158.55,41133
2020-10-14,160.35,160.95,158.25,159.0,64933
2020-10-15,158.7,160.35,157.35,157.65,30020
2020-10-16,160.35,161.25,157.65,158.55,26307
2020-10-19,160.05,160.05,155.25,156.0,40660
2020-10-20,157.65,157.95,154.5,154.95,42340
2020-10-21,156.0,156.45,151.95,154.5,98560
2020-10-22,152.4,154.05,152.025,153.15,48747
2020-10-23,153.0,154.125,152.25,153.15,66260
2020-10-26,152.85,153.0,150.9,152.1,101033
2020-10-27,152.475,152.7,151.38,151.95,53613
2020-10-28,150.9,151.65,149.25,151.2,78933
2020-10-29,152.1,152.25,150.9,151.35,18167
2020-10-30,153.75,154.05,151.05,153.0,124360
2020-11-02,152.25,153.45,151.95,152.25,25747
2020-11-03,152.25,153.3,152.1,152.7,25000
2020-11-04,152.7,153.75,152.4,153.0,36073
2020-11-05,153.0,154.2,152.1,153.6,88753
2020-11-06,154.5,155.85,153.525,154.2,70600
2020-11-09,154.5,155.7,152.1,152.4,54333
2020-11-10,153.75,154.5,152.7,152.85,62353
2020-11-11,154.5,154.5,152.4,152.55,44580
2020-11-12,153.0,153.3,151.65,152.1,72493
2020-11-13,152.25,152.7,151.95,152.4,92887
2020-11-16,153.3,154.2,152.55,152.85,48260
2020-11-17,153.6,153.75,152.7,153.0,32880
2020-11-18,153.75,154.35,152.85,153.0,83387
2020-11-19,153.75,161.1,153.3,159.0,181860
2020-11-20,165.3,193.2,162.15,191.25,941480
2020-11-23,199.5,217.5,191.25,193.5,568820
2020-11-24,204.225,210.0,190.5,204.0,339333
2020-11-25,198.75,205.35,194.115,203.85,203807
2020-11-27,209.85,235.5,208.8,230.85,308900
2020-11-30,257.1,284.1,242.4,276.0,690827
2020-12-01,284.25,295.65,244.5,255.0,481513
2020-12-02,232.5,278.85,210.0,270.0,709880
2020-12-03,354.75,374.55,286.5,344.7,2151627
2020-12-04,442.95,516.6,417.75,471.0,4466667
2020-12-07,495.0,650.7,495.0,613.2,3908027
2020-12-08,698.85,717.0,551.55,627.0,4518007
2020-12-09,601.8,628.95,525.0,553.8,1634053
2020-12-10,514.5,558.0,499.95,512.55,1006793
2020-12-11,479.7,498.15,415.35,421.8,1480067
2020-12-14,455.25,457.5,387.75,416.4,1580313
2020-12-15,430.05,455.1,334.8,343.05,2496873
2020-12-16,377.55,390.0,355.5,370.5,1362660
2020-12-17,392.7,402.75,375.0,376.8,734067
2020-12-18,395.4,414.45,384.6,414.3,927493
2020-12-21,437.55,528.75,424.65,527.25,2464247
2020-12-22,572.55,595.8,529.65,560.55,2027727
2020-12-23,542.25,554.4,495.15,528.3,922787
2020-12-24,512.25,523.275,480.0,495.9,568640
2020-12-28,514.05,514.5,459.75,465.75,452093
2020-12-29,465.0,532.05,453.0,485.4,1235867
2020-12-30,503.55,543.3,495.0,542.1,884907
2020-12-31,538.275,539.85,500.25,510.0,462073
2021-01-04,510.0,528.0,459.9,470.1,546607
2021-01-05,450.0,461.4,427.8,450.75,451913
2021-01-06,456.3,478.5,450.45,460.05,318333
2021-01-07,472.8,502.2,469.5,481.95,425940
2021-01-08,490.35,528.75,477.0,494.85,513413
2021-01-11,480.15,498.75,462.0,471.9,450273
2021-01-12,473.1,479.25,451.5,472.05,360787
2021-01-13,487.5,536.25,470.25,499.8,906733
2021-01-14,508.5,508.5,475.5,485.55,485733
2021-01-15,485.7,490.2,457.5,458.1,350173
2021-01-19,465.45,468.45,442.5,447.75,397333
2021-01-20,456.0,506.1,442.5,485.55,959673
2021-01-21,486.3,514.5,480.0,492.75,519980
2021-01-22,484.5,516.0,476.25,510.0,421753
2021-01-25,531.45,577.05,498.0,561.75,1240120
2021-01-26,561.0,573.0,521.85,544.8,537320
2021-01-27,523.05,614.7,507.9,528.6,1002927
2021-01-28,534.0,545.85,489.6,510.15,364300
2021-01-29,517.5,519.15,468.75,490.5,324140
2021-02-01,501.225,504.0,469.5,499.8,290680
2021-02-02,488.85,516.75,486.75,489.45,298387
2021-02-03,501.3,502.5,477.24,483.0,315240
2021-02-04,492.075,505.05,477.3,492.9,390367
2021-02-05,496.95,519.3,490.05,500.25,492887
2021-02-08,507.0,522.45,482.25,491.25,617980
2021-02-09,489.75,508.05,472.95,506.25,564927
2021-02-10,516.15,535.5,481.65,505.8,596480
2021-02-11,504.0,560.25,497.7,539.1,988947
2021-02-12,538.5,568.35,520.5,565.95,596987
2021-02-16,582.0,602.25,527.4,532.95,660993
2021-02-17,528.0,528.75,488.7,510.75,332067
2021-02-18,496.5,501.45,480.6,492.6,268973
2021-02-19,503.85,536.25,487.8,505.35,599913
2021-02-22,502.425,505.05,462.15,467.85,500993
2021-02-23,447.9,449.85,382.65,438.0,478393
2021-02-24,444.6,447.45,426.45,442.05,228347
2021-02-25,442.65,455.85,412.95,422.25,259787
2021-02-26,415.575,426.0,392.7,406.95,276980
2021-03-01,417.75,445.35,414.285,434.55,204460
2021-03-02,433.8,441.9,416.25,417.0,137393
2021-03-03,425.85,428.1,375.0,378.45,302333
2021-03-04,375.9,386.1,330.0,351.9,501707
2021-03-05,358.35,359.25,294.0,343.95,505220
2021-03-08,348.9,353.685,325.5,326.175,294973
2021-03-09,346.5,354.0,332.7,345.45,373800
2021-03-10,360.075,389.25,354.0,375.45,338827
2021-03-11,395.7,396.45,382.5,394.35,304680
2021-03-12,392.25,416.4,380.85,411.9,341013
2021-03-15,419.7,449.1,417.0,436.8,336947
2021-03-16,442.5,445.65,408.21,418.65,302447
2021-03-17,400.8,420.45,394.5,411.9,419893
