DateTime,Open,High,Low,Close,Volume
2012-02-09,14.17,14.22,13.75,13.91,580500
2012-02-10,14.0,14.03,13.77,13.96,336300
2012-02-13,13.91,14.42,13.63,13.65,175900
2012-02-14,13.6,13.79,13.3,13.44,122200
2012-02-15,13.5,14.07,13.3,13.4,175000
2012-02-16,13.4,13.7,13.4,13.54,71200
2012-02-17,13.61,13.99,13.5,13.58,142800
2012-02-21,13.61,14.34,13.56,13.71,248700
2012-02-22,13.99,14.22,13.75,13.96,274900
2012-02-23,13.97,14.0,13.84,13.94,82500
2012-02-24,13.93,13.93,13.55,13.71,120000
2012-02-27,13.65,13.84,13.63,13.66,235300
2012-02-28,13.75,13.84,13.75,13.83,68000
2012-02-29,13.88,14.15,13.85,14.13,68100
2012-03-01,14.15,15.35,14.1,15.0,610100
2012-03-02,15.07,15.7,14.97,15.14,237700
2012-03-05,15.07,15.15,14.78,15.09,184900
2012-03-06,14.98,15.27,14.84,15.0,130600
2012-03-07,15.04,15.34,15.04,15.23,110100
2012-03-08,14.54,15.53,14.45,15.23,120600
2012-03-09,15.18,15.59,15.08,15.32,166200
2012-03-12,14.95,15.4,14.95,15.14,91300
2012-03-13,15.14,16.48,15.07,15.78,316600
2012-03-14,15.67,16.35,15.67,16.2,160300
2012-03-15,16.18,17.13,16.18,17.0,228800
2012-03-16,16.91,17.26,16.2,16.8,326100
2012-03-19,17.12,17.92,16.9,17.41,297800
2012-03-20,17.44,17.5,16.9,17.41,96800
2012-03-21,17.5,17.75,17.24,17.38,211000
2012-03-22,17.18,17.32,16.44,16.6,99200
2012-03-23,16.56,17.35,16.56,17.1,227600
2012-03-26,17.31,17.38,16.75,16.98,144100
2012-03-27,17.75,21.25,17.58,21.11,1373200
2012-03-28,21.0,21.05,18.99,20.0,851100
2012-03-29,19.73,20.8,19.0,20.1,544900
2012-03-30,20.29,20.7,19.75,20.52,408500
2012-04-02,20.39,21.99,20.39,21.71,440500
2012-04-03,21.52,22.23,21.11,22.2,212200
2012-04-04,21.79,21.87,20.56,21.15,193400
2012-04-05,21.03,21.4,20.61,20.96,102100
2012-04-09,20.58,21.43,19.76,21.27,97000
2012-04-10,21.14,22.07,21.06,21.8,204500
2012-04-11,21.93,23.62,21.78,22.59,199800
2012-04-12,22.67,23.53,22.35,23.25,93500
2012-04-13,23.12,23.12,22.45,22.65,100000
2012-04-16,22.87,23.21,20.91,21.2,146400
2012-04-17,21.28,21.28,19.97,20.26,135000
2012-04-18,20.14,21.11,19.8,20.18,138800
2012-04-19,20.25,20.71,19.77,20.39,78200
2012-04-20,20.56,20.92,20.01,20.04,107500
2012-04-23,19.63,20.6,19.08,20.17,135900
2012-04-24,20.24,21.27,19.38,19.78,194300
2012-04-25,20.0,20.18,19.38,19.84,76700
2012-04-26,19.88,20.24,19.76,20.05,124700
2012-04-27,20.1,20.82,19.85,20.09,176400
2012-04-30,20.01,21.23,19.93,20.64,189000
2012-05-01,20.61,21.19,20.35,20.73,97800
2012-05-02,20.66,22.1,20.4,21.9,239000
2012-05-03,21.76,21.76,20.64,21.05,171000
2012-05-04,20.98,20.98,20.1,20.46,113900
2012-05-07,20.38,20.86,20.0,20.12,203000
2012-05-08,19.88,19.88,17.6,18.08,351200
2012-05-09,17.92,18.0,17.28,17.75,167500
2012-05-10,17.93,17.93,17.43,17.62,146800
2012-05-11,17.49,17.72,17.13,17.36,36000
2012-05-14,17.13,17.15,15.5,16.02,175800
2012-05-15,15.96,15.96,14.93,15.31,209000
2012-05-16,15.87,16.64,15.6,15.65,239800
2012-05-17,15.72,15.74,15.05,15.06,105100
2012-05-18,15.2,15.75,14.84,14.97,177200
2012-05-21,15.06,16.27,14.72,15.67,174500
2012-05-22,15.64,15.8,15.14,15.69,192000
2012-05-23,15.58,16.67,15.57,16.6,168000
2012-05-24,16.65,16.98,16.25,16.95,97900
2012-05-25,16.93,17.16,16.77,16.99,112600
2012-05-29,17.13,17.23,17.0,17.2,168100
2012-05-30,16.97,17.33,16.89,17.3,78800
2012-05-31,17.28,17.58,17.23,17.5,100000
2012-06-01,17.16,17.16,16.38,16.52,75500
2012-06-04,16.59,16.59,16.28,16.42,33500
2012-06-05,16.37,16.98,16.32,16.75,155500
2012-06-06,16.86,17.43,16.59,16.6,433200
2012-06-07,16.88,16.88,16.38,16.51,35000
2012-06-08,16.44,16.86,16.21,16.78,11700
2012-06-11,16.89,17.42,16.83,16.88,61300
2012-06-12,16.94,17.44,16.8,17.37,50400
2012-06-13,17.41,18.14,17.2,17.97,93300
2012-06-14,17.88,18.06,17.74,17.79,40700
2012-06-15,17.84,17.86,17.57,17.61,76000
2012-06-18,17.67,17.95,17.61,17.62,35000
2012-06-19,17.76,17.76,17.55,17.56,40800
2012-06-20,17.6,17.89,17.38,17.88,139500
2012-06-21,18.13,18.27,17.79,17.87,68000
2012-06-22,17.98,18.26,17.8,17.99,168500
2012-06-25,17.8,17.85,17.27,17.37,44900
2012-06-26,17.36,17.5,16.65,16.93,47800
2012-06-27,17.01,17.15,16.85,17.0,108000
2012-06-28,16.94,16.96,16.36,16.6,41700
2012-06-29,17.02,17.14,16.73,16.99,76800
2012-07-02,16.99,17.38,16.94,17.2,64700
2012-07-03,17.26,17.29,16.94,17.06,10100
2012-07-05,17.02,17.14,16.93,16.99,51700
2012-07-06,16.86,16.86,15.96,16.12,11600
2012-07-09,16.16,16.16,15.43,15.69,19100
2012-07-10,15.71,16.06,15.41,15.45,28300
2012-07-11,15.47,15.62,15.08,15.24,23600
2012-07-12,15.08,15.08,13.94,14.4,157900
2012-07-13,14.47,15.59,14.47,15.41,67400
2012-07-16,15.31,16.22,15.27,16.17,35800
2012-07-17,16.08,16.09,15.56,15.78,33500
2012-07-18,15.58,16.1,15.58,15.88,18400
2012-07-19,15.89,15.89,15.54,15.63,14600
2012-07-20,15.47,15.47,15.05,15.26,17700
2012-07-23,14.9,14.92,14.2,14.75,45500
2012-07-24,14.86,14.86,14.1,14.12,50800
2012-07-25,14.26,14.37,14.1,14.12,18800
2012-07-26,14.32,14.5,13.95,14.47,63700
2012-07-27,14.54,15.68,14.54,15.32,121400
2012-07-30,15.25,16.37,15.18,16.17,130100
2012-07-31,16.07,16.08,15.58,16.04,86400
2012-08-01,16.1,16.1,15.68,15.8,23500
2012-08-02,15.56,16.4,15.32,15.7,66700
2012-08-03,15.99,16.55,15.44,16.0,88300
2012-08-06,16.11,16.91,16.01,16.62,41000
2012-08-07,16.65,17.27,16.44,16.82,102900
2012-08-08,16.78,17.1,16.6,16.85,18200
2012-08-09,16.74,16.97,16.09,16.74,122900
2012-08-10,16.7,18.5,16.7,17.59,96800
2012-08-13,17.54,17.74,17.35,17.69,193400
2012-08-14,17.68,17.71,17.13,17.48,206300
2012-08-15,17.5,17.88,17.48,17.81,130400
2012-08-16,17.86,17.93,17.05,17.51,158500
2012-08-17,17.5,17.76,17.42,17.5,158000
2012-08-20,17.4,17.41,16.51,16.62,487200
2012-08-21,16.27,17.57,16.04,16.86,328100
2012-08-22,16.85,17.81,16.85,17.71,187600
2012-08-23,17.73,18.0,17.29,17.97,269800
2012-08-24,17.95,18.79,17.45,18.01,271500
2012-08-27,18.1,18.1,17.67,17.99,104100
2012-08-28,17.99,18.46,17.67,17.97,1515600
2012-08-29,17.9,18.13,17.8,17.97,1530900
2012-08-30,17.93,18.12,17.8,17.88,151000
2012-08-31,17.95,17.95,17.44,17.5,106700
2012-09-04,17.62,17.83,17.33,17.78,79700
2012-09-05,17.7,17.73,17.49,17.6,55300
