DateTime,Open,High,Low,Close,Volume
2020-10-26,10.05,10.052,10.0,10.0,83300
2020-10-27,10.06,10.06,10.0,10.0,25100
2020-10-28,10.0,10.05,10.0,10.01,54200
2020-10-29,10.01,10.02,10.0,10.0,5000
2020-10-30,9.98,10.04,9.98,10.01,10300
2020-11-02,10.05,10.05,10.0,10.02,12800
2020-11-03,10.03,10.07,10.03,10.06,80400
2020-11-04,10.05,10.06,10.04,10.05,12300
2020-11-05,10.05,10.054,10.03,10.05,72000
2020-11-06,10.05,10.05,10.05,10.05,1300
2020-11-09,10.05,10.067,10.05,10.05,9900
2020-11-10,10.05,10.07,10.05,10.05,50200
2020-11-11,10.05,10.055,10.04,10.04,262500
2020-11-12,10.04,10.06,10.0,10.0,315000
2020-11-13,10.045,10.055,10.03,10.03,5600
2020-11-16,10.036,10.06,10.036,10.06,3500
2020-11-17,10.06,10.06,10.02,10.05,122700
2020-11-18,10.05,10.06,10.02,10.05,13900
2020-11-19,10.05,10.052,10.03,10.03,4100
2020-11-20,10.04,10.08,10.03,10.08,31400
2020-11-23,10.09,10.12,10.05,10.12,19100
2020-11-24,10.1,10.1,10.046,10.087,14000
2020-11-25,10.08,10.095,10.05,10.08,9200
2020-11-27,10.08,10.08,10.07,10.076,14500
2020-11-30,10.07,10.2,10.07,10.15,55700
2020-12-01,10.2,10.2,10.115,10.115,30100
2020-12-02,10.19,10.2,10.1,10.19,95100
2020-12-03,10.2,10.2,10.153,10.19,23600
2020-12-04,10.2,10.2,10.16,10.18,49700
2020-12-07,10.21,10.38,10.2,10.25,238200
2020-12-08,10.26,10.26,10.2,10.22,67300
2020-12-09,10.22,10.26,10.15,10.15,56800
2020-12-10,10.26,11.34,10.23,10.73,2057800
2020-12-11,10.9,10.95,10.47,10.69,457200
2020-12-14,10.75,10.75,10.31,10.45,261300
2020-12-15,10.57,10.59,10.33,10.38,188000
2020-12-16,10.35,10.48,10.3,10.38,234000
2020-12-17,10.35,10.388,10.26,10.35,109600
2020-12-18,10.36,10.4,10.3,10.33,115500
2020-12-21,10.31,10.65,10.307,10.53,176800
2020-12-22,10.64,10.9,10.43,10.45,225600
2020-12-23,10.59,10.65,10.47,10.57,200900
2020-12-24,10.74,10.943,10.58,10.65,244500
2020-12-28,10.76,10.8,10.54,10.55,431000
2020-12-29,10.73,10.73,10.33,10.57,169300
2020-12-30,10.6,10.734,10.58,10.68,184700
2020-12-31,10.69,10.69,10.5,10.51,230100
2021-01-04,10.64,11.5,10.444,11.27,1108400
2021-01-05,11.5,11.6,10.6,10.74,804200
2021-01-06,10.74,10.75,10.51,10.6,382000
2021-01-07,10.69,12.67,10.6,11.23,2014900
2021-01-08,11.05,11.32,10.82,11.0,503500
2021-01-11,11.13,11.15,10.91,11.0,389200
2021-01-12,11.16,11.26,10.95,11.21,208000
2021-01-13,11.35,12.0,11.21,11.74,506800
2021-01-14,11.73,11.89,11.45,11.52,344900
2021-01-15,11.55,11.59,11.18,11.5,285500
