DateTime,Open,High,Low,Close,Volume
2007-08-13,31.2,39.67,29.0,31.65,3162100
2007-08-14,32.45,32.7,29.98,30.03,609300
2007-08-15,30.21,30.21,28.05,28.56,991800
2007-08-16,28.25,30.0,25.06,28.1,1107500
2007-08-17,30.32,33.64,30.0,32.85,438100
2007-08-20,32.9,33.5,29.5,30.47,235000
2007-08-21,29.71,30.29,27.76,29.02,180500
2007-08-22,29.15,30.83,29.15,29.57,77900
2007-08-23,30.89,30.89,28.9,30.0,244700
2007-08-24,29.16,30.25,28.52,30.0,144200
2007-08-27,29.37,30.25,28.51,29.4,173200
2007-08-28,29.3,29.8,28.5,28.9,292600
2007-08-29,29.52,30.72,28.76,29.33,113800
2007-08-30,29.75,29.75,28.55,28.75,259600
2007-08-31,29.15,29.15,28.0,28.12,69100
2007-09-04,28.01,29.0,27.28,28.0,135500
2007-09-05,27.38,28.91,27.0,28.51,198800
2007-09-06,28.86,32.25,28.76,29.93,179300
2007-09-07,30.68,31.7,29.25,29.5,74900
2007-09-10,29.75,30.66,29.07,29.3,118000
2007-09-11,29.67,29.75,28.83,29.08,106100
2007-09-12,28.87,29.76,28.28,29.17,76500
2007-09-13,29.2,29.44,28.94,29.0,22700
2007-09-14,28.61,29.76,28.04,28.5,117200
2007-09-17,28.25,28.41,27.61,27.75,71900
2007-09-18,27.75,29.16,27.47,28.0,167800
2007-09-19,30.1,33.74,30.05,33.28,697200
2007-09-20,33.49,38.35,32.99,37.06,505100
2007-09-21,36.52,40.67,35.63,40.52,324000
2007-09-24,38.27,41.3,38.26,41.06,312300
2007-09-25,38.72,39.99,37.07,38.2,262100
2007-09-26,38.0,38.12,36.5,38.08,326700
2007-09-27,38.5,39.92,35.76,36.92,380400
2007-09-28,36.23,38.0,35.37,36.26,1571400
2007-10-01,36.63,39.24,35.56,36.71,227700
2007-10-02,37.63,40.0,37.24,39.4,304200
2007-10-03,39.16,42.79,38.57,42.12,383000
2007-10-04,42.71,43.75,40.2,41.27,216700
2007-10-05,42.25,43.22,40.0,41.11,745200
2007-10-08,40.86,41.34,39.36,41.02,102600
2007-10-09,40.97,45.43,40.66,45.38,405200
2007-10-10,45.57,45.57,43.9,44.94,234300
2007-10-11,45.12,45.49,40.4,41.21,331000
2007-10-12,41.0,42.64,40.1,40.46,178300
2007-10-15,41.35,42.14,37.0,38.44,234200
2007-10-16,38.05,38.65,35.46,36.93,237500
2007-10-17,37.82,39.5,37.19,38.58,203600
2007-10-18,38.21,41.0,37.23,39.84,188800
2007-10-19,39.8,40.35,37.3,37.3,88100
2007-10-22,37.25,39.68,36.48,38.64,157500
2007-10-23,39.57,44.12,39.57,42.83,336100
2007-10-24,42.23,42.39,37.47,39.38,358400
2007-10-25,39.35,40.35,38.36,40.03,108800
2007-10-26,40.11,43.35,39.66,43.07,232600
2007-10-29,43.16,45.92,42.38,44.59,341600
2007-10-30,44.6,48.16,44.6,45.86,405400
2007-10-31,46.18,46.18,41.14,44.68,336200
2007-11-01,44.21,44.4,40.5,41.36,287100
2007-11-02,42.03,45.0,40.5,44.34,246100
2007-11-05,43.2,44.94,42.28,43.53,138500
2007-11-06,43.5,45.8,43.2,45.48,138200
2007-11-07,44.34,44.84,37.34,39.4,462700
2007-11-08,40.0,40.0,36.18,37.52,346600
2007-11-09,37.77,37.77,34.39,36.76,287700
2007-11-12,36.65,38.0,32.67,35.18,310300
2007-11-13,36.02,41.6,35.35,41.06,329600
2007-11-14,45.0,46.86,41.5,43.19,442800
2007-11-15,43.33,47.7,42.33,46.44,618800
2007-11-16,46.54,47.2,43.71,46.51,379900
2007-11-19,46.03,47.05,44.02,44.69,249400
2007-11-20,45.15,46.11,43.0,43.62,226300
2007-11-21,42.6,43.0,40.34,41.2,111200
2007-11-23,40.26,42.52,40.01,42.36,119000
2007-11-26,42.58,43.11,41.0,41.17,126800
2007-11-27,41.72,42.3,41.0,41.12,156500
2007-11-28,41.25,43.61,40.61,43.61,277400
2007-11-29,43.5,44.0,42.15,43.0,96900
2007-11-30,43.5,43.77,42.25,42.41,191800
2007-12-03,44.11,45.84,44.04,44.71,526000
2007-12-04,45.62,45.62,42.81,43.36,337900
2007-12-05,44.85,45.6,43.57,44.24,254500
2007-12-06,44.24,44.5,43.26,44.03,259700
2007-12-07,44.3,44.91,43.35,43.77,109600
2007-12-10,44.1,50.49,44.0,49.97,857200
2007-12-11,49.68,50.0,47.03,47.49,657500
2007-12-12,48.88,53.92,48.63,50.8,649700
2007-12-13,50.61,54.73,49.98,53.63,353000
2007-12-14,59.5,65.46,57.52,61.55,6186300
2007-12-17,66.66,66.66,58.4,60.34,2901800
2007-12-18,61.95,62.39,56.36,59.68,1600400
2007-12-19,59.25,60.43,57.96,59.9,720300
2007-12-20,60.99,61.88,58.62,60.47,655400
2007-12-21,61.81,62.0,59.26,60.06,610400
2007-12-24,60.7,61.77,59.17,60.4,366100
2007-12-26,60.84,72.96,60.45,72.85,2040100
2007-12-27,72.65,81.17,72.0,75.3,4763900
2007-12-28,80.73,80.74,77.07,78.81,2393400
2007-12-31,78.0,78.98,72.7,73.88,1296500
2008-01-02,75.98,76.81,68.0,70.1,2081400
2008-01-03,72.79,72.82,68.81,69.44,1224600
2008-01-04,66.48,67.85,63.17,64.09,1356200
2008-01-07,66.16,66.77,58.46,61.37,1853300
2008-01-08,62.5,65.49,60.5,61.1,1183200
2008-01-09,60.07,61.36,56.58,60.68,1573600
2008-01-10,59.64,65.98,58.68,64.06,1506600
2008-01-11,63.43,67.5,61.02,62.6,1446100
2008-01-14,64.41,65.0,62.66,64.71,742600
2008-01-15,63.91,66.0,59.8,59.98,835000
2008-01-16,57.28,59.25,50.98,54.23,2382200
2008-01-17,54.4,55.49,43.42,45.41,2724600
2008-01-18,48.46,49.07,45.2,47.05,2180800
2008-01-22,40.39,49.47,40.16,47.71,1374100
2008-01-23,45.97,50.74,44.5,50.02,1318900
2008-01-24,51.97,57.74,51.11,56.64,1986700
2008-01-25,59.95,61.75,53.0,54.06,1869700
2008-01-28,43.45,46.68,40.55,42.6,4790000
2008-01-29,44.46,44.79,41.25,41.7,1913100
2008-01-30,40.8,41.0,35.96,36.11,3316900
2008-01-31,34.61,37.9,34.0,37.03,2218000
2008-02-01,38.5,38.88,36.72,37.48,1546900
2008-02-04,38.28,38.31,36.46,36.49,1099600
2008-02-05,35.48,38.25,34.79,36.26,1224200
2008-02-06,37.62,37.68,33.8,33.95,1144700
2008-02-07,33.14,34.45,31.4,31.73,1816400
2008-02-08,32.0,32.94,31.0,31.72,1221600
2008-02-11,32.51,36.48,32.25,36.15,2545000
2008-02-12,37.4,38.87,34.11,34.61,2550200
2008-02-13,35.48,36.9,34.0,36.75,1228100
2008-02-14,37.3,38.41,35.0,35.39,1330200
2008-02-15,35.27,36.3,34.43,35.79,658000
2008-02-19,37.06,37.48,34.58,34.63,970200
2008-02-20,33.75,35.43,32.91,34.58,807600
2008-02-21,34.9,35.19,32.98,33.15,518100
2008-02-22,33.08,33.89,32.21,33.4,456900
2008-02-25,33.32,33.99,32.67,33.83,610600
2008-02-26,33.1,34.02,32.75,33.38,575700
2008-02-27,33.05,37.01,33.0,36.63,1515200
2008-02-28,35.92,38.41,35.92,37.38,1410300
2008-02-29,36.82,37.58,35.85,36.15,694800
2008-03-03,38.35,39.45,37.06,37.59,1285500
2008-03-04,36.86,37.77,34.1,35.87,1227700
2008-03-05,36.73,38.05,36.4,37.13,1374800
2008-03-06,38.27,41.8,37.82,39.24,3316500
2008-03-07,37.6,39.72,35.24,36.55,1555100
2008-03-10,36.86,37.21,33.71,33.95,735700
2008-03-11,35.42,36.65,34.76,36.49,727100
2008-03-12,36.5,40.0,35.96,38.83,1288200
2008-03-13,37.45,39.0,35.56,38.6,1311400
2008-03-14,39.23,40.0,37.12,38.24,789800
2008-03-17,36.03,37.78,35.14,35.15,954700
2008-03-18,36.56,37.75,35.79,37.23,704900
2008-03-19,37.43,38.89,36.26,36.35,719600
2008-03-20,37.08,37.5,35.74,36.35,751400
2008-03-24,36.57,39.75,36.57,38.5,798300
2008-03-25,39.08,40.94,37.34,40.45,1434200
2008-03-26,41.57,42.58,39.83,41.55,1917100
2008-03-27,41.71,41.72,38.75,38.89,1013300
2008-03-28,39.47,39.75,36.89,37.04,596500
2008-03-31,37.32,40.39,36.64,39.76,1572400
2008-04-01,40.52,40.82,38.57,40.82,1222000
2008-04-02,40.11,40.37,39.0,39.21,515700
2008-04-03,38.95,39.79,38.25,39.64,578500
2008-04-04,39.85,43.55,39.25,43.22,2068800
2008-04-07,44.11,44.4,42.75,43.7,1195000
