DateTime,Open,High,Low,Close,Volume
2006-05-26,4.63,4.674,4.411,4.493,103044000
2006-05-30,4.497,4.498,4.285,4.4,49898000
2006-05-31,4.435,4.536,4.435,4.494,30002000
2006-06-01,4.493,4.81,4.49,4.751,62344000
2006-06-02,4.85,4.87,4.679,4.699,37253000
2006-06-05,4.705,4.925,4.7,4.915,37188000
2006-06-06,4.998,5.063,4.78,4.83,49045000
2006-06-07,4.833,4.84,4.675,4.76,25013000
2006-06-08,4.76,4.772,4.55,4.772,34439000
2006-06-09,4.88,4.88,4.768,4.778,13372000
2006-06-12,4.8,4.825,4.63,4.695,14546000
2006-06-13,4.62,4.735,4.53,4.55,16716000
2006-06-14,4.49,4.545,4.444,4.512,15971000
2006-06-15,4.54,4.612,4.513,4.595,16500000
2006-06-16,4.55,4.6,4.5,4.502,12280000
2006-06-19,4.545,4.545,4.41,4.434,11509000
2006-06-20,4.474,4.5,4.347,4.402,23792000
2006-06-21,4.402,4.588,4.4,4.53,18063000
2006-06-22,4.64,4.695,4.588,4.66,13038000
2006-06-23,4.699,4.793,4.687,4.695,11612000
2006-06-26,4.695,4.75,4.643,4.75,8565000
2006-06-27,4.75,4.803,4.725,4.731,9826000
2006-06-28,4.685,4.74,4.65,4.696,8756000
2006-06-29,4.695,4.809,4.695,4.8,14470000
2006-06-30,4.765,4.8,4.66,4.8,25964000
2006-07-03,4.79,4.8,4.681,4.73,7029000
2006-07-05,4.74,4.784,4.671,4.76,13266000
2006-07-06,4.725,4.735,4.679,4.68,8097000
2006-07-07,4.675,4.685,4.575,4.612,8380000
2006-07-10,4.62,4.657,4.612,4.649,4978000
2006-07-11,4.649,4.649,4.53,4.635,8079000
2006-07-12,4.64,4.64,4.554,4.555,7672000
2006-07-13,4.518,4.518,4.43,4.472,16625000
2006-07-14,4.462,4.468,4.39,4.395,9663000
2006-07-17,4.391,4.417,4.375,4.399,6458000
2006-07-18,4.399,4.41,4.367,4.39,12483000
2006-07-19,4.391,4.545,4.38,4.528,15840000
2006-07-20,4.54,4.578,4.51,4.555,8829000
2006-07-21,4.555,4.555,4.477,4.528,8510000
2006-07-24,4.545,4.553,4.499,4.5,5017000
2006-07-25,4.52,4.64,4.516,4.608,6900000
2006-07-26,4.614,4.785,4.58,4.668,10338000
2006-07-27,4.69,4.717,4.652,4.652,6009000
2006-07-28,4.651,4.68,4.626,4.63,4339000
2006-07-31,4.63,4.641,4.586,4.587,4616000
2006-08-01,4.592,4.592,4.47,4.5,7390000
2006-08-02,4.799,5.005,4.731,5.002,53372000
2006-08-03,4.913,5.024,4.865,4.999,21689000
2006-08-04,5.03,5.15,4.999,5.005,14216000
2006-08-07,5.05,5.13,5.025,5.11,6918000
2006-08-08,5.11,5.267,5.105,5.257,14073000
2006-08-09,5.3,5.45,5.2,5.285,15043000
2006-08-10,5.22,5.391,5.21,5.356,8725000
2006-08-11,5.35,5.445,5.325,5.368,9078000
2006-08-14,5.375,5.454,5.352,5.423,6314000
2006-08-15,5.47,5.493,5.426,5.449,8553000
2006-08-16,5.465,5.543,5.416,5.427,15344000
2006-08-17,5.42,5.424,5.319,5.346,10216000
2006-08-18,5.31,5.365,5.246,5.345,9343000
2006-08-21,5.33,5.555,5.28,5.426,12487000
2006-08-22,5.42,5.55,5.42,5.523,9761000
2006-08-23,5.548,5.575,5.454,5.46,10439000
2006-08-24,5.49,5.585,5.482,5.565,5420000
2006-08-25,5.575,5.585,5.493,5.5,8016000
